578,193909
957,285706
924,235779
29,168810
461,105743
910,234985
158,037888
511,230438
15,089520
67,116959
249,174088
100,123077
175,276566
434,143219
578,042236
564,051331
413,043182
86,038177
81,308228
955,245300
266,059937
277,115540
985,142395
700,009583
506,286011
811,265869
569,231384
777,253601
409,134064
966,131958
397,096863
772,001465
35,151199
969,144226
341,205658
714,314697
994,299622
809,139832
861,025940
154,228638
692,081116
299,152130
827,219666
362,101898
906,176270
451,094818
461,124786
58,255909
602,029724
662,305725
736,029907
943,146667
166,226501
50,001942
194,049026
714,035278
572,159058
824,199463
929,184387
854,241455
180,158203
521,284058
58,266369
78,274582
260,224731
398,029938
971,097839
309,135559
215,276428
255,184586
688,131653
315,184723
897,272278
557,309387
306,058502
583,231995
885,213623
519,102051
843,221436
743,142029
64,022720
49,268021
276,286072
265,317230
323,281189
552,320435
648,081299
846,090881
333,224335
840,188904
294,317505
898,257935
199,199921
894,067200
538,232727
222,239838
822,072083
894,138062
788,030823
526,041565
124,123772
710,175354
744,248108
291,119843
295,197754
121,005699
989,013733
641,145325
440,025635
734,175720
230,102463
242,263367
22,089399
854,202148
636,294067
362,266083
929,065979
673,303650
945,214233
353,279388
647,098511
793,060730
159,052826
444,017029
218,305954
302,229401
535,175720
788,205078
903,170105
257,172302
386,286774
765,279175
569,093201
24,082069
820,104614
761,218933
933,211487
120,132591
332,244781
730,293091
52,068722
734,162964
973,029602
99,026581
387,133118
69,221420
600,090332
288,321533
790,241943
220,003464
536,259094
802,212402
217,217377
773,133057
404,286957
412,051880
909,031494
111,044350
592,111450
976,314270
610,176331
901,000122
740,001099
507,275513
551,272339
893,038452
556,249634
21,175409
243,175812
65,107010
871,091797
962,307312
279,307617
849,074585
808,100708
939,312988
922,221069
535,275269
568,202820
253,320389
564,323364
314,290863
482,190826
217,320541
435,197601
716,232422
293,114319
571,076355
561,078613
75,260208
638,219666
835,219910
892,239929
628,308289
443,111328
151,277054
221,257416
163,014481
977,084717
751,174255
737,117004
84,165123
62,041759
527,311523
371,215637
254,085388
624,250000
769,201538
0,256590
475,149292
325,012726
312,263306
594,315918
993,234680
768,148376
702,215393
5,147320
940,021606
939,103882
839,295959
541,002563
562,150574
215,188675
868,066040
782,018433
317,308960
470,080566
177,038635
43,136089
532,143860
721,158447
479,236633
848,225220
922,051575
978,090271
307,265381
887,085266
509,206177
388,247620
749,245972
151,306915
497,120575
270,048065
906,314758
304,061646
147,050598
227,106720
978,327637
552,010864
383,310120
605,005371
986,096924
905,177673
554,135864
485,198395
355,160400
769,316406
536,033508
181,191055
450,134338
633,159851
847,068848
814,200012
118,219749
623,198853
242,002502
306,068939
493,292389
308,045074
23,284019
452,027649
887,180603
750,275391
825,302490
723,017517
321,147705
734,221558
47,118130
306,204803
148,268845
779,224121
364,105377
171,060150
931,012268
790,159180
421,145111
527,264771
33,319408
652,136047
933,004700
16,233490
752,319092
528,088745
804,250916
128,102585
499,144775
726,228149
20,090250
118,301033
429,024597
728,059937
123,002121
320,015747
808,231323
789,229248
300,316681
548,121521
767,254272
845,309998
350,325256
70,089951
468,141998
78,075996
587,216980
901,017883
675,083679
715,321472
914,271118
502,239990
716,195496
152,281815
541,254089
103,162437
181,183853
38,174278
252,004593
453,250793
534,196655
437,011597
152,223297
335,290497
844,240845
93,258492
985,190552
113,145943
287,132629
180,071793
913,276489
66,068878
299,307495
676,004944
558,068481
501,228729
274,214020
386,002350
372,307648
140,119904
904,188965
352,219788
633,115112
720,140076
606,260376
67,083687
543,321350
419,096313
753,138916
470,176453
653,119019
199,210068
752,068787
957,066956
383,146271
796,032898
81,245483
266,277832
633,204834
797,188477
484,110352
684,197937
504,131378
675,059814
126,144119
651,131409
97,218857
665,268494
55,260262
94,275169
424,203888
919,115967
388,041901
221,228485
98,097580
343,144775
519,166504
119,018417
971,237915
19,317310
562,103027
901,019043
89,236359
85,037376
832,273926
29,092739
375,095337
189,015228
100,162003
424,246613
780,219666
494,077454
871,226624
676,183350
65,322273
161,130905
766,092468
347,039795
238,172836
9,020470
450,219910
674,019592
526,223877
350,247314
47,175739
227,230453
142,147522
683,270142
189,057877
875,071289
242,198959
415,288513
394,158661
100,117531
24,162781
55,281200
70,177689
621,279114
106,142807
50,233040
13,277770
197,129593
217,245987
940,238464
377,052002
684,095215
669,143250
692,154724
429,317047
954,227356
102,146103
902,115051
643,195984
214,162933
918,194031
465,263733
879,304321
888,272400
516,030029
898,040710
666,242371
519,063782
386,235870
199,292145
112,224617
684,067993
768,195862
597,015442
146,292816
245,324585
472,197174
604,190308
13,060950
299,055481
888,130798
253,277924
8,303890
316,164612
75,035294
514,167786
938,163086
514,044556
727,190491
22,035700
42,127750
954,158081
384,104919
609,078857
806,305481
110,237244
588,001770
302,127777
149,208557
156,308823
821,216125
580,118958
964,055725
884,285828
323,141663
120,116310
588,312683
566,091553
215,003098
153,210281
442,126587
289,316711
817,212646
171,293716
391,225189
101,131050
355,275513
333,042694
966,122803
